wikidata	wg	external_name	external_short	external_wikidata	external_locale	external_link	external_type	source	curator	curation_date	comment	mediator(s)
Q141133988	Error Culture in Science	Research Data Alliance	RDA	Q25338539	International	https://www.rd-alliance.org/	organization	charter	orcid:0000-0003-4423-4370	2026-08-25		
Q141133988	Error Culture in Science	German Research Foundation	DFG	Q707283	DE	https://www.dfg.de/en		charter	orcid:0000-0003-4423-4370	2026-08-25		
Q141133988	Error Culture in Science	DataPlant			NFDI			charter	orcid:0000-0003-4423-4370	2026-08-25		
Q141133988	Error Culture in Science	DAPHNE			NFDI			charter	orcid:0000-0003-4423-4370	2026-08-25		
Q141133988	Error Culture in Science	KonsortSWD			NFDI			charter	orcid:0000-0003-4423-4370	2026-08-25		
Q141133988	Error Culture in Science	MaRDI			NFDI			charter	orcid:0000-0003-4423-4370	2026-08-25		
Q141133988	Error Culture in Science	NFDI4Chem			NFDI			charter	orcid:0000-0003-4423-4370	2026-08-25		
Q141133988	Error Culture in Science	NFDI4Culture			NFDI			charter	orcid:0000-0003-4423-4370	2026-08-25		
Q141133988	Error Culture in Science	NFDI4Matwerk			NFDI			charter	orcid:0000-0003-4423-4370	2026-08-25		
Q141133988	Error Culture in Science	PUNCH4NFDI			NFDI			charter	orcid:0000-0003-4423-4370	2026-08-25		
Q141133960	Training Formats and Certificate Courses	University Bremen			DE			charter	orcid:0000-0003-4423-4370	2026-08-25		
Q141133960	Training Formats and Certificate Courses	Leuphana University DataX Program			DE	https://www.leuphana.de/en/teaching/teaching-development/projects/completed-projects/datax.html		charter	orcid:0000-0003-4423-4370	2026-08-25		
Q141133960	Training Formats and Certificate Courses	University Kiel RDM educational program			DE			charter	orcid:0000-0003-4423-4370	2026-08-25		
Q141133960	Training Formats and Certificate Courses	The Carpentries		Q74245723	US	https://carpentries.org		charter	orcid:0000-0003-4423-4370	2026-08-25		
Q141133970	Target Group and Needs Analysis	Social Sciences and Humanities Open Marketplace	SSH Open Marketplace	Q131847864	Europe	https://marketplace.sshopencloud.eu/search?categories=training-material&order=label		charter	orcid:0000-0003-4423-4370	2026-08-25		
Q141133970	Target Group and Needs Analysis	The Carpentries		Q74245723	US	https://carpentries.org	organization	charter	orcid:0000-0003-4423-4370	2026-08-25
Q141133970	Target Group and Needs Analysis	Data Carpentry			US	https://datacarpentry.org	organization	charter	orcid:0000-0003-4423-4370	2026-08-25
Q141133970	Target Group and Needs Analysis	Software Carpentry			US	https://software-carpentry.org	organization	charter	orcid:0000-0003-4423-4370	2026-08-25
Q141133970	Target Group and Needs Analysis	Library Carpentry			US	https://librarycarpentry.org	organization	charter	orcid:0000-0003-4423-4370	2026-08-25
Q141133970	Target Group and Needs Analysis	DINI/nestor AG Research Data			DE	https://dini.de/ag/dininestor-ag-forschungsdaten	working group	charter	orcid:0000-0003-4423-4370	2026-08-25		
Q141133970	Target Group and Needs Analysis	RDMKit			Europe	https://rdmkit.elixir-europe.org/		charter	orcid:0000-0003-4423-4370	2026-08-25		
Q141133970	Target Group and Needs Analysis	DataOne		Q5227120		https://dataoneorg.github.io/Education/		charter	orcid:0000-0003-4423-4370	2026-08-25		
Q141133970	Target Group and Needs Analysis	Earth Sciences Information Partnership	ESIP			https://dmtclearinghouse.esipfed.org/home		charter	orcid:0000-0003-4423-4370	2026-08-25		
Q141133970	Target Group and Needs Analysis	Fostering FAIR Data Practices in Europe	FAIRsFAIR	Q100151455	Europe	https://www.fairsfair.eu	project	charter	orcid:0000-0003-4423-4370	2026-08-25		
Q141133970	Target Group and Needs Analysis	School of Data				https://schoolofdata.org		charter	orcid:0000-0003-4423-4370	2026-08-25		
Q141133970	Target Group and Needs Analysis	FAIRsFAIR Training Library			Europe	https://www.fairsfair.eu/competence-centre/training-library		charter	orcid:0000-0003-4423-4370	2026-08-25		
Q141133970	Target Group and Needs Analysis	ELIXIR Training eSupport System	TeSS	Q109494708	Europe	https://tess.elixir-europe.org		charter	orcid:0000-0003-4423-4370	2026-08-25		
Q141133970	Target Group and Needs Analysis	Programming Historian				https://programminghistorian.org	data resource	charter	orcid:0000-0003-4423-4370	2026-08-25		
Q141133970	Target Group and Needs Analysis	Deutsches Netzwerk für Bioinformatik-Infrastruktur	de.NBI	Q61705390	DE	https://www.denbi.de	data resource	charter	orcid:0000-0003-4423-4370	2026-08-25		
Q125747942	Research Software Engineering	EOSC Task Force Infrastructure for Quality Research Software			Europe	https://eosc.eu/advisory-groups/infrastructures-quality-research-software	task force	charter	orcid:0000-0003-4423-4370	2026-08-25		Bernd Flemisch, Leyla Jael Castro
Q125747942	Research Software Engineering	RDA FAIR for Research Software (FAIR4RS) WG				https://www.rd-alliance.org/groups/fair-research-software-fair4rs-wg/members/all-members/	working group	charter	orcid:0000-0003-4423-4370	2026-08-25		Leyla Jael Castro, Tibor Kalman
Q125747942	Research Software Engineering	EURISE Network				https://eurise-network.github.io		charter	orcid:0000-0003-4423-4370	2026-08-25		Tibor Kalman
Q125747942	Research Software Engineering	Allianz Initiative						charter	orcid:0000-0003-4423-4370	2026-08-25		Konrad Förstner
Q125747942	Research Software Engineering	German Society for Research Software	deRSE e.V.	Q110492421	DE	https://de-rse.org/en/		charter	orcid:0000-0003-4423-4370	2026-08-25		Frank Löffler
Q125747942	Research Software Engineering	International Council of RSE associations			International	https://researchsoftware.org/council.html		charter	orcid:0000-0003-4423-4370	2026-08-25		Frank Löffler
Q125747942	Research Software Engineering	Free Software Foundation Europe e.V.		Q899299	DE	https://fsfe.org	organization	charter	orcid:0000-0003-4423-4370	2026-08-25		Christian Busse
Q125747942	Research Software Engineering	Arbeitsgruppe Research Software Engineering in den Digital Humanities	AG DH-RSE		DE	https://digitalhumanities.de/ag-research-software-engineering-in-den-digital-humanities-dh-rse/	working group	charter	orcid:0000-0003-4423-4370	2026-08-25		Daniel Jettka
Q140073062	Landscaping and Outreach	Community Research and Development Information Service	CORDIS	Q763756	Europe	https://cordis.europa.eu		charter	orcid:0000-0003-4423-4370	2026-08-25		
Q140073062	Landscaping and Outreach	European Strategy Forum on Research Infrastructures	ESFRI	Q2623454	Europe	https://research-and-innovation.ec.europa.eu/strategy/strategy-research-and-innovation/our-digital-future/european-research-infrastructures/esfri_en		charter	orcid:0000-0003-4423-4370	2026-08-25		
Q140073062	Landscaping and Outreach	Research Organization Registry	ROR	Q110235640		https://ror.org	data resource	charter	orcid:0000-0003-4423-4370	2026-08-25		
Q140073062	Landscaping and Outreach	Wikidata		Q2013		https://www.wikidata.org/wiki/Wikidata:Main_Page	data resource	charter	orcid:0000-0003-4423-4370	2026-08-25		
Q140073062	Landscaping and Outreach	European Open Science Cloud	EOSC	Q29051497	Europe	https://open-science-cloud.ec.europa.eu	project	charter	orcid:0000-0003-4423-4370	2026-08-25		
Q140073062	Landscaping and Outreach	Section Industry WG Cooperation		Q141133922	NFDI		working group	charter	orcid:0000-0003-4423-4370	2026-08-25		
Q140073062	Landscaping and Outreach	Section Int WG EOSC		Q141133913	NFDI		working group	charter	orcid:0000-0003-4423-4370	2026-08-25		
Q140073062	Landscaping and Outreach	Section EduTrain Networking and Outreach			NFDI		working group	charter	orcid:0000-0003-4423-4370	2026-08-25		
Q140073062	Landscaping and Outreach	Section EduTrain RDM Helpdesk Working Group		Q141133979	NFDI		working group	charter	orcid:0000-0003-4423-4370	2026-08-25		
Q140073062	Landscaping and Outreach	Section Meta WG Knowledge Graphs		Q141133890	NFDI		working group	charter	orcid:0000-0003-4423-4370	2026-08-25		
Q141133954	Long-term Access and Preservation	Research Data Alliance	RDA	Q25338539	International	https://www.rd-alliance.org/	organization	charter	orcid:0000-0003-4423-4370	2026-08-25		
Q141133954	Long-term Access and Preservation	European Open Science Cloud	EOSC	Q29051497	Europe	https://open-science-cloud.ec.europa.eu	project	charter	orcid:0000-0003-4423-4370	2026-08-25		
Q141133954	Long-term Access and Preservation	Open Preservation Foundation	OPF			https://openpreservation.org	organization	charter	orcid:0000-0003-4423-4370	2026-08-25		
Q141133954	Long-term Access and Preservation	Digital Preservation Coaliation	DPC			https://www.dpconline.org	organization	charter	orcid:0000-0003-4423-4370	2026-08-25		
Q141133954	Long-term Access and Preservation	Digital Curation Centre	DCC			https://www.dcc.ac.uk	organization	charter	orcid:0000-0003-4423-4370	2026-08-25		
